date,nom,email,pwd,adresse,achat,etat
01/02/2026,Rakoto,rakoto1@yopmail.com,Pass123!,Analakely,"[(""T_01"";2;""M"")]",paiement accepté
02/02/2026,Rabe,rakoto2@yopmail.com,Pass123!,Ivato,"[(""P_01"";1;""40"")]",dans le panier
03/02/2026,Rasoa,rakoto3@yopmail.com,Pass123!,Anosy,"[(""C_03"";3;""noir"")]",paiement accepté
04/02/2026,Rakotomalala,rakoto4@yopmail.com,Pass123!,Mahamasina,"[(""S_01"";1;""bleu"")]",dans le panier
05/02/2026,Randria,rakoto5@yopmail.com,Pass123!,Ambohipo,"[(""CH_01"";1;""42"")]",paiement accepté
06/02/2026,Razanadrakoto,rakoto6@yopmail.com,Pass123!,Isotry,"[(""P_02"";2;""M"")]",dans le panier
07/02/2026,Ravelona,rakoto7@yopmail.com,Pass123!,Antanimena,"[(""C_04"";1;""marron"")]",paiement accepté
08/02/2026,Rajaonarison,rakoto8@yopmail.com,Pass123!,Andoharanofotsy,"[(""L_01"";1;""bleu"")]",dans le panier
09/02/2026,Rakotondrabe,rakoto9@yopmail.com,Pass123!,Ankadifotsy,"[(""PO_01"";2;""noir"")]",paiement accepté
10/02/2026,Rasoazanany,rakoto10@yopmail.com,Pass123!,67ha,"[(""CH_02"";1;""L"")]",dans le panier
11/02/2026,Randriamanana,rakoto11@yopmail.com,Pass123!,Ivandry,"[(""S_02"";2;""M"")]",paiement accepté
12/02/2026,Rakotobe,rakoto12@yopmail.com,Pass123!,Talatamaty,"[(""V_01"";1;""XL"")]",dans le panier
13/02/2026,Ratsimbazafy,rakoto13@yopmail.com,Pass123!,Ankorondrano,"[(""G_01"";2;""unique"")]",paiement accepté
14/02/2026,Raharimalala,rakoto14@yopmail.com,Pass123!,Anosy,"[(""E_01"";1;""rouge"")]",dans le panier
15/02/2026,Razafindrabe,rakoto15@yopmail.com,Pass123!,Ampefiloha,"[(""CH_03"";1;""unique"")]",paiement accepté
16/02/2026,Rabemananjara,rakoto16@yopmail.com,Pass123!,Tanjombato,"[(""B_01"";1;""41"")]",dans le panier
17/02/2026,Randrianarisoa,rakoto17@yopmail.com,Pass123!,Alarobia,"[(""SA_01"";2;""39"")]",paiement accepté
18/02/2026,Rakotovao,rakoto18@yopmail.com,Pass123!,Itaosy,"[(""R_01"";1;""M"")]",dans le panier
19/02/2026,Rasoanirina,rakoto19@yopmail.com,Pass123!,Fianarantsoa,"[(""J_01"";2;""40"")]",paiement accepté
20/02/2026,Raveloson,rakoto20@yopmail.com,Pass123!,Toamasina,"[(""T_01"";1;""S"")]",dans le panier
21/02/2026,Rakotonirina,rakoto21@yopmail.com,Pass123!,Analamahitsy,"[(""P_01"";2;""42"")]",paiement accepté
22/02/2026,Randriamihaja,rakoto22@yopmail.com,Pass123!,Antsirabe,"[(""C_03"";1;""rouge"")]",dans le panier
23/02/2026,Rafanomezantsoa,rakoto23@yopmail.com,Pass123!,Majunga,"[(""S_01"";1;""gris"")]",paiement accepté
24/02/2026,Rakotondrafara,rakoto24@yopmail.com,Pass123!,Morondava,"[(""CH_01"";1;""40"")]",dans le panier
25/02/2026,Razafintsalama,rakoto25@yopmail.com,Pass123!,Diego,"[(""P_02"";3;""L"")]",paiement accepté
26/02/2026,Ravelomanantsoa,rakoto26@yopmail.com,Pass123!,Nosy Be,"[(""C_04"";2;""noir"")]",dans le panier
27/02/2026,Rabekoto,rakoto27@yopmail.com,Pass123!,Sambava,"[(""L_01"";1;""noir"")]",paiement accepté
28/02/2026,Rakotoniaina,rakoto28@yopmail.com,Pass123!,Vakinankaratra,"[(""PO_01"";1;""marron"")]",dans le panier
01/03/2026,Ratsiraka,rakoto29@yopmail.com,Pass123!,Antalaha,"[(""CH_02"";2;""S"")]",paiement accepté
02/03/2026,Rabenoro,rakoto30@yopmail.com,Pass123!,Farafangana,"[(""S_02"";1;""L"")]",dans le panier
